region,commute_time,pcntge_workforce
northeast,under_15min,0.4385413743434007
northeast,btwn_16_30min,0.35097772307491665
northeast,btwn_31_45min,0.11425730191981424
northeast,btwn_46_60min,0.0703916365173426
northeast,over_61min,0.025831964144525786
northwest,under_15min,0.40636411773867
northwest,btwn_16_30min,0.34055879146550383
northwest,btwn_31_45min,0.1332398899444531
northwest,btwn_46_60min,0.07692384363806261
northwest,over_61min,0.042913357213310493
yorkshirehumber,under_15min,0.3933767454895155
yorkshirehumber,btwn_16_30min,0.36382137441678003
yorkshirehumber,btwn_31_45min,0.1335560472214237
yorkshirehumber,btwn_46_60min,0.07693248688710819
yorkshirehumber,over_61min,0.03231334598517255
eastmidlands,under_15min,0.44128811441491633
eastmidlands,btwn_16_30min,0.3551970022339902
eastmidlands,btwn_31_45min,0.11349468007421391
eastmidlands,btwn_46_60min,0.055024179022128944
eastmidlands,over_61min,0.03499602425475061
westmidlands,under_15min,0.3988199711612615
westmidlands,btwn_16_30min,0.3560141751827149
westmidlands,btwn_31_45min,0.12550466504459495
westmidlands,btwn_46_60min,0.0804836747909346
westmidlands,over_61min,0.03917751382049405
east,under_15min,0.41930099305414814
east,btwn_16_30min,0.35176594137479966
east,btwn_31_45min,0.12277128696975041
east,btwn_46_60min,0.0664006590531638
east,over_61min,0.03976111954813799
london,under_15min,0.15341409293182667
london,btwn_16_30min,0.24571826853818146
london,btwn_31_45min,0.2010687061397979
london,btwn_46_60min,0.2198626074544117
london,over_61min,0.17993632493578224
southeast,under_15min,0.4302200701639714
southeast,btwn_16_30min,0.32051247856541654
southeast,btwn_31_45min,0.11697382676568806
southeast,btwn_46_60min,0.08140904595973084
southeast,over_61min,0.05088457854519317
southwest,under_15min,0.4611852913587861
southwest,btwn_16_30min,0.33005315405435315
southwest,btwn_31_45min,0.10212304620975168
southwest,btwn_46_60min,0.06423506835243921
southwest,over_61min,0.04240344002466984
wales,under_15min,0.42292139744608265
wales,btwn_16_30min,0.35150674196949067
wales,btwn_31_45min,0.13920235000227293
wales,btwn_46_60min,0.05785278716417329
wales,over_61min,0.02851672341798046
scotland,under_15min,0.43383494323174987
scotland,btwn_16_30min,0.3339908045515939
scotland,btwn_31_45min,0.11464806112846129
scotland,btwn_46_60min,0.07213164765946756
scotland,over_61min,0.045394543428727355
northernireland,under_15min,0.4776158944430657
northernireland,btwn_16_30min,0.3423931496399876
northernireland,btwn_31_45min,0.10915629667637561
northernireland,btwn_46_60min,0.04985512718812759
northernireland,over_61min,0.0209795320524435
